Word1,Word2
Novel, Essay
Poetry, Lyrics
Tragedy, Comedy
Narration, Description
Symbolism, Realism
Romanticism, Naturalism
Essay, Article
Epic, Biography
Novelist, Writer
Drama, Play
Film, TV show
Director, Screenwriter
Script, Plot
Artist, Creator
Photography, Cinematography
Illustration, Artwork
Sculpture, Carving
Expressionism, Modernism
Classical music, Contemporary music
Symphony, Orchestra
Harmony, Melody
Instrument, Sound
Composition, Arrangement
Performance, Acting
Fine arts, Painting
Watercolor, Oil painting
Cartoon, Comic
Pattern, Illustration
Printmaking, Canvas
Sketch, Comic
Creation, Creativity
Art exhibition, Art gallery
Artwork, Collection
Rhetoric, Style
Formalism, Contentism
Rhetorical device, Rhetorical technique
Theme, Subject
Imagery, Symbol
Metaphor, Simile
Lyric poetry, Narrative poetry
Autobiography, Biography
Dramatic, Structural
Criticism, Review
Literary criticism, Art criticism
Structuralism, Post-structuralism
Graphic, Image
Abstract art, Figurative art
Dynamic, Static
Surrealism, Fantasy
Psychological history, Social history
Literary award, Art award
Literary form, Art form
Narrator, Storyteller
Character, Role
Cultural context, Social context
Text, Work
Poetic, Poetic atmosphere
Imagism, Formalism
Original, Translation
Classic, Contemporary
School, Style
Plot, Scene
Climax, Ending
Contrast, Comparison
Interpretation, Explanation
Semiotics, Text analysis
Openness, Closure
Satire, Critique
Outsider, Protagonist
Mood, Emotion
Opera, Drama
Stage, Canvas
Renaissance, Baroque
Modernity, Postmodernity
Pop culture, High culture
Artistic form, Artistic language
Minimalism, Decorative art
Carving, Sculpture
Performance, Singing
Performing arts, Visual arts
Theater, Cinema
Art creation, Artistic expression
Curator, Art consultant
Fantasy, Dream
Symbol, Sign
Illustration, Cover
Post-Impressionism, Impressionism
Literature, Art
Acting, Technique
Memoir, Biography
Aesthetics, Beauty
Multiplicity, Unity
Poeticization, Artisticization
Structure, Form
Humor, Satire
Theme song, Soundtrack
Action movie, Comedy movie
Sadness, Sorrow
Art movement, Style
Emotion, Expression
