Word1,Word2
Chef Knife,Paring Knife
Slippers,Sandals
Shampoo,Shower Gel
Laundry Detergent,Fabric Softener
Hand Towel,Bath Towel
Pillow,Cushion
Curtain,Blinds
Broom,Mop
Trash Bin,Garbage Bag
Refrigerator,Freezer
Microwave,Oven
Rice Cooker,Electric Pressure Cooker
Wok,Frying Pan
Cupboard,Disinfection Cabinet
Chopsticks,Fork
Glass,Mug
Napkin,Toilet Paper
Toothpick,Dental Floss
Soap,Bar Soap
Hand Soap,Dish Soap
Clothes Hanger,Wardrobe
Bookshelf,Storage Shelf
Desk Lamp,Floor Lamp
Light Bulb,Fluorescent Tube
Socket,Power Strip
Remote Control,Timer
Key,Access Card
Wallet,Coin Purse
Umbrella,Parasol
Backpack,Handbag
Sneakers,Casual Shoes
Shirt,T-shirt
Jeans,Chinos
Dress,Skirt
Scarf,Shawl
Watch,Fitness Tracker
Bicycle,E-bike
Bus,Subway
Taxi,Ride-hailing Car
Traffic Light,Zebra Crossing
Parking Lot,Garage
Gas Station,Charging Station
Supermarket,Convenience Store
Wet Market,Grocery Store
Checkout Counter,Self-checkout
Membership Card,Points Card
Delivery,Takeout
Package,Envelope
Calendar,Notepad
Alarm Clock,Stopwatch
Potted Plant,Flower Arrangement
Pet Food,Treats
Dog Leash,Collar
Cat Litter,Scratching Post
Toys,Puzzle Game
Movie Ticket,Concert Ticket
Admission Ticket,Entry Pass
Swimming Pool,Hot Spring
Treadmill,Elliptical Machine
Dumbbell,Barbell
Yoga Mat,Exercise Ball
Headphones,Earplugs
Power Bank,USB Cable
Router,Modem
USB Drive,External Hard Drive
Keyboard,Mouse
Screen Protector,Phone Case
Selfie Stick,Tripod
Filter,Beauty App
Social Media,Messaging App
Email,Text Message
Weather Forecast,Air Quality Index
Thermometer,Hygrometer
Fan,Air Conditioner
Radiator,Electric Blanket
Mosquito Net,Insect Repellent
Sunscreen,Primer
Face Mask,Serum
Comb,Hairpin
Razor, Eyebrow Trimmer
Nail Clipper,Scissors
Sewing Kit,Sewing Machine
Tape,Double-sided Tape
Screwdriver,Wrench
Hammer,Nail
Ladder,Stool
Paint,Wallpaper
Carpet,Doormat
Doorbell,Intercom
Security Camera,Smart Lock
Steamer,Electric Steamer
Hand Cream,Body Lotion
Bottle Opener,Peeler
Plastic Wrap,Aluminum Foil
Vacuum Cleaner,Dust Mite Remover
Mosquito Coil,Electric Fly Swatter
Bluetooth Earphones,Wired Earphones
Safety Goggles,Sunglasses
Bamboo Steamer,Baking Tray
Dryer,Clothes Drying Rack
