Word1,Word2
Hypertension,Hypotension
Diabetes Mellitus,Diabetes Insipidus
Asthma,Bronchitis
Antibiotics,Antivirals
Vaccine,Antiserum
Electrocardiogram,Electroencephalogram
Anesthetic,Sedative
Insulin,Glucagon
Chemotherapy,Radiotherapy
X-ray,CT Scan
Penicillin,Cephalosporin
Intravenous Injection,Subcutaneous Injection
Influenza,Common Cold
Fracture,Bone Crack
Cataract,Glaucoma
Allergy,Autoimmune Disease
Painkiller,Antipyretic
Disinfection,Sterilization
Prescription Drug,Over-the-Counter Drug
Blood Test,Urinalysis
Vitamins,Minerals
Traditional Chinese Medicine,Acupuncture
MRI,Ultrasound
Antibiotics,Antimicrobials
Virus,Bacteria
Heart Rate,Blood Pressure
Blood Transfusion,Stem Cell Transplant
Hyperthyroidism,Hypothyroidism
Pneumonia,Tuberculosis
Anesthesia,Analgesia
Allergen,Antigen
Vaccine,Immunoglobulin
Emergency Room,Intensive Care Unit
Scalpel,Laser Scalpel
Pathology,Pharmacology
Prescription,Medical Order
Dentistry,Oral Medicine
Nurse,Clinical Nurse Specialist
Rehabilitation Therapy,Physical Therapy
Psychological Counseling,Psychiatric Treatment
Antibiotic Resistance,Drug Sensitivity
Blood Type,Hemoglobin
Vitamin C,Vitamin D
Type 1 Diabetes,Type 2 Diabetes
Stroke,Transient Ischemic Attack
Coronary Artery,Pulmonary Artery
Leukocyte,Erythrocyte
Platelet,Plasma
Gastroscopy,Colonoscopy
Acupuncture,Moxibustion
Chinese Herbal Medicine,Herbal Remedy
Viral Vector Vaccine,mRNA Vaccine
CT Scan,PET Scan
Electrocardiogram,Cardiac Monitor
Antibiotic Ointment,Antifungal Cream
Intravenous Drip,Intramuscular Injection
Fever Patch,Ice Pack
Insulin Pump,Glucose Meter
Artificial Respiration,CPR
Viral Test,Antibody Test
Allergy Test,Skin Test
Radiotherapy,Proton Therapy
Anesthesia Mask,Oxygen Mask
Orthopedics,Rheumatology
Periodontitis,Tooth Decay
Prescription Drug,Dietary Supplement
Hemodialysis,Peritoneal Dialysis
Vitamin B Complex,Multivitamin
Emergency,Outpatient
Inpatient Ward,Observation Room
Nursing Station,Doctor's Office
Rehabilitation Center,Sanatorium
Pathology Slide,Cell Smear
Tablet,Capsule
Syrup,Oral Solution
Disinfectant,Hand Sanitizer
Protective Suit,Isolation Gown
Stethoscope,Sphygmomanometer
Wheelchair,Stretcher
Hearing Aid,Cochlear Implant
Prosthesis,Orthosis
Ventilator,Oxygen Concentrator
Thermometer,Infrared Thermometer
Operating Room,Sterile Room
Tourniquet,Bandage
Band-Aid,Suture
Surgical Mask,N95 Respirator
Medical Gloves,Sterile Gloves
ECG Lead,Electrode Pad
Viral Culture,Bacterial Culture
Genetic Testing,Chromosomal Analysis
Allergic Reaction,Side Effect
Chemotherapy Drug,Targeted Therapy
Radiology,Imaging Department
Pathology Report,Lab Report
Outpatient Record,Inpatient Record
Medical Order,Nursing Note
Surgical Consent Form,Informed Consent
Gastric Ulcer,Duodenal Ulcer
Antidepressant,Anti-anxiety Medication
