Word1,Word2
高血压,低血压
糖尿病,尿崩症
哮喘,支气管炎
抗生素,抗病毒药
疫苗,血清
心电图,脑电图
麻醉剂,镇静剂
胰岛素,胰高血糖素
化疗,放疗
X光,CT扫描
青霉素,头孢菌素
静脉注射,皮下注射
流感,普通感冒
骨折,骨裂
白内障,青光眼
过敏,自身免疫疾病
止痛药,退烧药
消毒,灭菌
处方药,非处方药
血常规,尿常规
维生素,矿物质
中医,针灸
核磁共振,超声波
抗生素,抗菌剂
病毒,细菌
心率,血压
输血,造血干细胞移植
甲状腺功能亢进,甲状腺功能减退
肺炎,肺结核
麻醉,镇痛
过敏原,抗原
疫苗,免疫球蛋白
急诊室,重症监护室
手术刀,激光刀
病理学,药理学
处方,医嘱
牙科,口腔科
护士,护理师
康复治疗,物理治疗
心理咨询,精神科治疗
抗生素耐药性,药物敏感性
血型,血红蛋白
维生素C,维生素D
糖尿病1型,糖尿病2型
脑卒中,短暂性脑缺血
冠状动脉,肺动脉
白细胞,红细胞
血小板,血浆
胃镜,肠镜
针灸,艾灸
中药,草药
病毒载体疫苗,mRNA疫苗
CT扫描,PET扫描
心电图,心电监护仪
抗生素软膏,抗真菌软膏
静脉滴注,肌肉注射
退热贴,冰敷袋
胰岛素泵,血糖仪
人工呼吸,心肺复苏
病毒检测,抗体检测
过敏测试,皮试
放疗,质子治疗
麻醉面罩,氧气面罩
骨科,风湿科
牙周病,龋齿
处方药,保健品
血透,腹透
维生素B族,复合维生素
急诊,门诊
住院部,观察室
护士站,医生办公室
康复中心,疗养院
病理切片,细胞涂片
药片,胶囊
糖浆,口服液
消毒液,洗手液
防护服,隔离衣
听诊器,血压计
轮椅,担架
助听器,人工耳蜗
假肢,矫形器
呼吸机,制氧机
体温计,红外测温仪
手术室,无菌室
止血带,绷带
创可贴,缝合线
医用口罩,N95口罩
医用手套,无菌手套
心电图导联,电极片
病毒培养,细菌培养
基因检测,染色体分析
过敏反应,副作用
化疗药物,靶向药物
放射科,影像科
病理报告,检验报告
门诊病历,住院病历
医嘱单,护理记录
手术同意书,知情同意书
胃溃疡,十二指肠溃疡
抗抑郁药,抗焦虑药
