Word1,Word2
菜刀,水果刀
拖鞋,凉鞋
洗发水,沐浴露
洗衣液,柔顺剂
毛巾,浴巾
枕头,靠垫
窗帘,百叶窗
扫把,拖把
垃圾桶,垃圾袋
冰箱,冰柜
微波炉,烤箱
电饭煲,电压力锅
炒锅,平底锅
碗柜,消毒柜
筷子,叉子
玻璃杯,马克杯
餐巾纸,卫生纸
牙签,牙线
肥皂,香皂
洗手液,洗洁精
晾衣架,衣柜
书架,置物架
台灯,落地灯
灯泡,灯管
插座,插排
遥控器,定时器
钥匙,门禁卡
钱包,零钱袋
雨伞,遮阳伞
背包,手提包
运动鞋,休闲鞋
衬衫,T恤
牛仔裤,休闲裤
连衣裙,半身裙
围巾,披肩
手表,手环
自行车,电动车
公交车,地铁
出租车,网约车
红绿灯,斑马线
停车场,车库
加油站,充电桩
超市,便利店
菜市场,生鲜店
收银台,自助结账机
会员卡,积分卡
快递,外卖
包裹,信封
日历,备忘录
闹钟,计时器
盆栽,鲜花
宠物粮,零食
狗链,项圈
猫砂,猫抓板
玩具,益智游戏
电影票,演出票
门票,入场券
游泳池,温泉池
跑步机,椭圆机
哑铃,杠铃
瑜伽垫,健身球
耳机,耳塞
充电宝,数据线
路由器,调制解调器
U盘,移动硬盘
键盘,鼠标
屏幕保护膜,手机壳
自拍杆,三脚架
滤镜,美颜软件
社交媒体,即时通讯
电子邮件,短信
天气预报,空气质量
温度计,湿度计
风扇,空调
暖气片,电热毯
蚊帐,驱蚊液
防晒霜,隔离霜
面膜,精华液
梳子,发夹
剃须刀,修眉刀
指甲刀,剪刀
针线盒,缝纫机
胶带,双面胶
螺丝刀,扳手
锤子,钉子
梯子,凳子
油漆,墙纸
地毯,地垫
门铃,对讲机
监控摄像头,智能门锁
蒸锅,电蒸箱
护手霜,润肤乳
开瓶器,削皮刀
保鲜膜,锡纸
吸尘器,除螨仪
蚊香,电蚊拍
蓝牙耳机,有线耳机
护目镜,太阳镜
蒸笼,烤盘
烘干机,晾衣杆
