Word1,Word2
合同法, 合同履行
侵权行为, 损害赔偿
财产所有权, 使用权
判决, 裁定
公证, 认证
刑事责任, 民事责任
无效, 撤销
诉讼, 调解
受害人, 被告
原告, 被告
执行, 强制执行
诉讼时效, 追诉期
律师, 法官
法定代表人, 实际控制人
专利权, 著作权
商标, 版权
法定继承, 遗嘱继承
起诉, 上诉
案件审理, 证据审查
正式文件, 非正式文件
证人, 证词
虚假陈述, 误导性陈述
合伙, 公司
并购, 收购
裁决, 判决书
财务审计, 税务审计
国家赔偿, 行政赔偿
调解员, 仲裁员
违法行为, 不当行为
公民权利, 政治权利
财产分割, 财产清算
无罪推定, 有罪推定
初审, 终审
公诉, 私诉
司法审查, 法律监督
代理人, 被代理人
司法审判, 行政裁定
证据材料, 证据链
竞争法, 反垄断法
市场监管, 行政执法
企业破产, 债务重组
财产保全, 临时禁令
刑事诉讼, 民事诉讼
诉讼请求, 赔偿请求
法人, 自然人
劳动合同, 劳动协议
债权人, 债务人
商事诉讼, 民事诉讼
专利侵权, 商标侵权
物权, 权利
托管, 保管
同居关系, 婚姻关系
仲裁庭, 审判庭
非诉讼, 审判
受害方, 赔偿方
代位权, 抵销权
破产清算, 破产重整
非法定继承, 遗嘱继承
合同违约, 合同解除
合同终止, 合同解除
离婚协议, 离婚判决
职业道德, 专业责任
判决生效, 判决执行
检察机关, 司法机关
财产转让, 财产赠与
行政处罚, 民事赔偿
直接损失, 间接损失
不正当竞争, 不公平竞争
授权, 委托
立法机关, 执法机关
争议解决, 争议调解
注册资本, 实收资本
债务人, 承债人
公司治理, 企业管理
不当得利, 违法所得
产权转让, 资产出售
保全措施, 保障措施
代位诉讼, 代理诉讼
法人资格, 法律主体
人身损害, 财产损害
居住权, 使用权
财产损害, 人身损害
诉讼费, 执行费
无罪, 无罪推定
初步审查, 终审裁定
争议, 纠纷
合同约定, 合同条款
所有权, 使用权
独占性, 排他性
证明责任, 证据责任
行政诉讼, 民事诉讼
侵害, 侵犯
诈骗, 欺诈
合规, 合法
成立, 生效
和解, 协商
债务清偿, 违约清偿
强制执行, 民事执行
继承权, 财产分割
反诉, 上诉
