Word1,Word2
小说, 散文
诗歌, 歌词
悲剧, 喜剧
叙事, 描写
象征主义, 现实主义
浪漫主义, 自然主义
散文, 文章
史诗, 传记
小说家, 作家
戏剧, 戏曲
电影, 影视剧
导演, 编剧
剧本, 剧情
艺术家, 创作者
摄影, 摄像
插画, 画作
雕塑, 雕刻
表现主义, 现代主义
古典音乐, 现代音乐
交响乐, 管弦乐
和声, 旋律
乐器, 音响
作曲, 编曲
表演, 演技
美术, 绘画
水彩画, 油画
卡通, 漫画
图案, 插图
版画, 画布
素描, 漫画
创作, 创意
艺术展, 艺术馆
艺术品, 收藏品
修辞, 风格
形式主义, 内容主义
修辞手法, 修辞技巧
主题, 题材
意象, 符号
隐喻, 明喻
抒情诗, 叙事诗
自传, 传记
戏剧性, 结构性
批评, 评论
文学批评, 艺术批评
结构主义, 后结构主义
图形, 图像
抽象艺术, 具象艺术
动感, 静态
超现实主义, 幻想主义
心灵史, 社会史
文学奖, 艺术奖
文学形式, 艺术形式
叙述者, 讲述者
人物, 角色
文化背景, 社会背景
文本, 作品
诗意, 诗境
意象主义, 形式主义
原创, 翻译
经典, 当代
流派, 风格
情节, 场景
高潮, 结局
对比, 对照
解读, 诠释
符号学, 文本分析
开放性, 封闭性
讽刺, 批判
局外人, 主角
心境, 情感
歌剧, 戏剧
舞台, 画布
文艺复兴, 巴洛克
现代性, 后现代性
流行文化, 高雅文化
艺术形式, 艺术语言
极简主义, 装饰艺术
雕刻, 雕塑
演奏, 演唱
表演艺术, 视觉艺术
剧院, 电影院
艺术创作, 艺术表达
策展人, 艺术顾问
幻想, 梦想
象征, 标志
插图, 封面
后印象派, 印象派
文艺, 艺术
演技, 技巧
回忆录, 传记
美学, 美感
多重性, 统一性
诗意化, 艺术化
结构, 形式
幽默, 讽刺
主题曲, 配乐
动作片, 喜剧片
悲伤, 忧伤
画派, 风格
情感, 表达
